#RUN	GRID	lat	lon	INFILT	Ds	Ds_MAX	Ws	C	EXPT_1	EXPT_2	Ksat_1	Ksat_2	PHI_1	PHI_2	MOIST_1	MOIST_2	ELEV	DEPTH_1	DEPTH_2	AVG_T	DP	BUBLE1	BUBLE2	QUARZ1	QUARZ2	BULKDN1	BULKDN2	PARTDN1	PARTDN2	OFF_GMT	WcrFT1	WcrFT2	WpFT1	WpFT2	Z0_SOIL	Z0_SNOW	PRCP	RESM1	RESM2	FS_ACTV
1	1	28.75	97.75	0.4	0.9	10	0.6	2	13.6	13.6	472.8	472.8	-999	-999	0.049780358	0.482338996	4850	0.2	0.8	16	4	40.12	40.12	0.24	0.24	1390	1660	2650	2650	2	0.69047619	0.69047619	0.333333333	0.333333333	0.001	0.0005	1500	0.027	0.027	0
1	2	28.75	97.8	0.4	0.9	10	0.6	2	13.6	13.6	472.8	472.8	-999	-999	0.049780358	0.482338996	4592	0.2	0.8	16	4	40.12	40.12	0.24	0.24	1390	1660	2650	2650	2	0.69047619	0.69047619	0.333333333	0.333333333	0.001	0.0005	1500	0.027	0.027	0
1	3	28.75	97.9	0.4	0.9	10	0.6	2	13.6	13.6	472.8	472.8	-999	-999	0.049780358	0.049780358	5160	0.2	0.8	16	4	40.12	40.12	0.24	0.24	1390	1390	2650	2650	2	0.69047619	0.69047619	0.333333333	0.333333333	0.001	0.0005	1500	0.027	0.027	0
1	4	28.7	97.7	0.4	0.9	10	0.6	2	13.6	13.6	472.8	472.8	-999	-999	0.049780358	0.049780358	4667	0.2	0.8	16	4	40.12	40.12	0.24	0.24	1390	1390	2650	2650	2	0.69047619	0.69047619	0.333333333	0.333333333	0.001	0.0005	1500	0.027	0.027	0
1	5	28.7	97.75	0.4	0.9	10	0.6	2	13.6	13.6	472.8	472.8	-999	-999	0.049780358	0.049780358	4600	0.2	0.8	16	4	40.12	40.12	0.24	0.24	1390	1390	2650	2650	2	0.69047619	0.69047619	0.333333333	0.333333333	0.001	0.0005	1500	0.027	0.027	0
1	6	28.7	97.8	0.4	0.9	10	0.6	2	12.68	12.68	1257.6	1257.6	-999	-999	0.04655717	0.04655717	4434	0.2	0.8	16	4	30.2	30.2	0.24	0.24	1300	1300	2650	2650	2	0.525	0.525	0.225	0.225	0.001	0.0005	1500	0.041	0.041	0
1	7	28.7	97.85	0.4	0.9	10	0.6	2	12.68	12.68	1257.6	1257.6	-999	-999	0.04655717	0.04655717	4894	0.2	0.8	16	4	30.2	30.2	0.24	0.24	1300	1300	2650	2650	2	0.525	0.525	0.225	0.225	0.001	0.0005	1500	0.041	0.041	0
1	8	28.7	97.9	0.4	0.9	10	0.6	2	13.6	13.6	472.8	472.8	-999	-999	0.049780358	0.049780358	4464	0.2	0.8	16	4	40.12	40.12	0.24	0.24	1390	1390	2650	2650	2	0.69047619	0.69047619	0.333333333	0.333333333	0.001	0.0005	1500	0.027	0.027	0
1	9	28.7	97.95	0.4	0.9	10	0.6	2	13.6	13.6	472.8	472.8	-999	-999	0.049780358	0.049780358	4967	0.2	0.8	16	4	40.12	40.12	0.24	0.24	1390	1390	2650	2650	2	0.69047619	0.69047619	0.333333333	0.333333333	0.001	0.0005	1500	0.027	0.027	0
1	10	28.7	98	0.4	0.9	10	0.6	2	12.68	12.68	1257.6	1257.6	-999	-999	0.04655717	0.04655717	4464	0.2	0.8	16	4	30.2	30.2	0.24	0.24	1300	1300	2650	2650	2	0.525	0.525	0.225	0.225	0.001	0.0005	1500	0.041	0.041	0
